tool	CPAchecker 2.2	CPAchecker 2.2	CPAchecker 2.2	CPAchecker 2.2	CPAchecker 2.2	CPAchecker 2.2	CPAchecker 2.2	CPAchecker 2.2	CPAchecker 2.2	CPAchecker 2.2	CPAchecker 2.2	CPAchecker 2.2	CPAchecker 2.2	CPAchecker 2.2	CPAchecker 2.2	CPAchecker 2.2	CPAchecker 2.2	CPAchecker 2.2	CPAchecker 2.2	CPAchecker 2.2
run set	predicate context.Context	predicate context.Context	predicate context.Context	predicate context.Context	svcomp23 context.Context	svcomp23 context.Context	svcomp23 context.Context	svcomp23 context.Context	svcomp23 no context.No Context	svcomp23 no context.No Context	svcomp23 no context.No Context	svcomp23 no context.No Context	predicate no context.No Context	predicate no context.No Context	predicate no context.No Context	predicate no context.No Context	value.No Context	value.No Context	value.No Context	value.No Context
	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
no_context/combo1.c									true	149.341621198	130.05402540900104	827.195392	true	6.335576296	2.375173264001205	189.759488	true	5.355945474	2.070057877997897	172.937216
no_context/combo2.c									true	148.991101344	125.44267742299962	1074.405376	true	6.786419491	2.6937683489995834	191.127552	true	5.361998087	1.9934899219988438	178.683904
no_context/gauge1.c									TIMEOUT	200.755543128	154.3226988009992	713.052160	TIMEOUT	200.869122516	186.98535488000198	445.173760	TIMEOUT	200.173282531	184.2501514860014	417.366016
no_context/gauge2.c									TIMEOUT	200.272661638	163.67151925500002	824.459264	TIMEOUT	200.175005265	185.85541396699773	410.722304	unknown	5.134121081	2.0034403749996272	187.244544
no_context/loop1.c									TIMEOUT	200.348541839	184.67244377099996	721.170432	TIMEOUT	200.703339408	191.22221688100035	239.169536	TIMEOUT	200.903357018	187.16875488500227	765.100032
no_context/loop2.c									TIMEOUT	200.221562144	184.74909965000006	809.222144	TIMEOUT	200.80366491	188.80837430499741	302.116864	TIMEOUT	200.915703237	186.25236297000083	765.325312
no_context/loop3.c									TIMEOUT	200.135699054	185.57141153500015	1148.469248	TIMEOUT	200.760910017	188.72417518300063	429.285376	TIMEOUT	200.778404513	192.7585195069987	809.861120
no_context/loop4.c									true	14.94504436	6.3520693619993835	414.330880	TIMEOUT	200.757091048	188.73176547099865	351.371264	true	7.13797412	2.5352331629983382	236.793856
